id,cases
1,28
2,29
3,31
4,34
5,37
6,44
7,50
8,73
9,75
10,83
11,90
12,93
13,125
14,137
15,165
16,191
17,231
18,320
19,439
20,492
21,562
22,649
23,724
24,873
25,979
26,1071
27,1251
28,1397
29,1965
30,2301
31,2902
32,3374
33,4067
34,4421
35,5194
36,5734
37,6412
38,7447
39,8356
40,9152
41,10363
42,11438
43,12380
44,13387
45,14378
46,15712
47,17265
48,18600
49,19984
50,21393
51,23077
52,24506
53,26496
54,27892
55,29435
56,31332
57,33050
58,35043
59,37336
60,39980
61,42533
62,46433
63,49391
64,52952
65,56342
66,59662
67,62939
68,67152
69,70756
70,74281
71,78003
72,81970
73,85940
74,90927
75,96169
76,101139
77,106750
78,112359
79,118447
80,125101
81,131868
82,138845
83,145380
84,151767
85,158333
86,165799
87,173763
88,182143
89,190535
90,198706
91,207615
92,216919
93,226770
94,236657
95,246628
96,256611
97,266598
98,276583
99,286579
100,297535
101,308993
102,320922
103,332424
104,343091
105,354065
106,366946
107,380532
108,395048
109,410461
110,425282
111,440215
112,456183
113,473105
114,490401
115,508953
116,528859
117,548318
118,566840
119,585493
120,604641
121,625544
122,648315
123,673165
124,697413
125,719665
126,742417
127,767296
128,793802
129,820916
130,849553
131,878254
132,906752
133,936181
134,968876
135,1003832
136,1038716
137,1077618
138,1118043
139,1155191
140,1192915
141,1238635
142,1287945
143,1336861
144,1385522
145,1435453
146,1483156
147,1531669
148,1583792
149,1638870
150,1695988
151,1750723
152,1803695
153,1855745
154,1908254
155,1964536
156,2027074
157,2088611
158,2153010
159,2215074
160,2268675
161,2329638
162,2396637
163,2461190
164,2526192
165,2589682
166,2647663
167,2702742
168,2767273
169,2836925
170,2905823
171,2975701
172,3044940
173,3106348
174,3167323
175,3234474
176,3310234
177,3387500
178,3463972
