id,cases
1,27
2,27
3,27
4,44
5,44
6,59
7,59
8,59
9,59
10,59
11,59
12,59
13,59
14,60
15,60
16,61
17,61
18,66
19,83
20,219
21,239
22,392
23,534
24,631
25,897
26,1350
27,2023
28,2820
29,4587
30,6067
31,7823
32,9824
33,11946
34,14554
35,17372
36,20615
37,24523
38,28274
39,31492
40,34934
41,37552
42,40544
43,43106
44,45178
45,60329
46,64544
47,67104
48,69266
49,71333
50,73328
51,75192
52,75724
53,76720
54,77805
55,78814
56,79337
57,80130
58,80997
59,82111
60,83381
61,85237
62,87061
63,89149
64,91002
65,93310
66,95645
67,98704
68,102841
69,106811
70,110985
71,115746
72,120832
73,128670
74,138137
75,148544
76,160784
77,173287
78,187495
79,204424
80,224629
81,255706
82,287636
83,321844
84,356236
85,400575
86,442988
87,496656
88,557686
89,622656
90,685566
91,742914
92,807330
93,881932
94,959419
95,1036848
96,1118696
97,1203951
98,1270316
99,1343286
100,1420288
101,1505289
102,1592612
103,1682209
104,1757582
105,1825979
106,1890727
107,1967245
108,2045475
109,2129397
110,2211155
111,2290792
112,2361540
113,2435203
114,2521695
115,2588000
116,2666479
117,2739303
118,2839221
119,2921067
120,2986615
121,3058816
122,3137497
123,3222984
124,3311554
125,3392447
126,3469578
127,3546041
128,3624563
129,3712077
130,3804421
131,3893577
132,3982574
133,4057387
134,4127009
135,4213081
136,4299285
137,4395844
138,4492997
139,4586035
140,4665749
141,4751930
142,4847234
143,4950463
144,5058276
145,5164181
146,5264177
147,5357392
148,5446128
149,5539764
150,5642430
151,5760799
152,5882844
153,6010987
154,6117868
155,6217787
156,6330047
157,6456728
158,6583695
159,6716794
160,6842958
161,6958168
162,7063517
163,7188612
164,7322921
165,7459253
166,7603943
167,7737571
168,7859036
169,7977619
170,8118821
171,8295461
172,8433898
173,8613001
174,8772619
175,8901495
176,9037824
177,9202314
178,9377099
179,9556124
180,9744837
181,9926110
182,10085898
183,10245860
184,10437926
185,10638859
186,10847744
187,11053353
188,11244053
189,11422018
190,11597688
191,11804635
192,12020122
193,12245409
194,12477066
195,12694752
196,12890145
197,13079349
198,13302905
199,13534808
200,13789304
201,14043851
202,14273825
203,14483157
204,14684558
205,14924236
206,15205910
207,15482244
208,15766140
209,16025627
210,16257435
211,16469682
212,16713303
213,17011397
214,17301839
215,17580732
216,17848055
217,18071760
218,18276849
219,18532359
220,18809707
221,19095920
222,19371810
223,19640060
224,19869336
225,20089811
226,20350873
227,20639888
228,20926793
229,21216036
230,21475439
231,21707584
232,21904654
233,22159562
234,22440557
235,22716734
236,22970279
237,23236699
238,23461109
239,23673902
